panelist,week_number,treatment_group,cohort_period,prop_expenditure_vegetables
119,45,0,0,8.37012862353619
119,46,0,0,57.7328646748682
119,47,0,0,5.12082853855006
119,48,0,0,12.4824684431978
119,49,0,0,8.52823260470155
119,50,0,0,4.44518438358445
119,51,0,0,0
119,52,0,0,7.49506903353057
119,53,0,0,7.73930753564155
120,1,0,0,8.34408602150538
120,2,0,0,17.7559282822441
120,3,0,0,17.7559282822441
120,4,0,0,5.43912175648703
120,5,0,0,9.18691508542972
121,1,1,7,6.56623713500547
121,2,1,7,10.4589659485594
121,3,1,7,14.8400147112909
121,4,1,7,6.29717879110183
121,5,1,7,4.58085673293708
121,6,1,7,8.07688521652363
121,7,1,7,10.112637702686
121,8,1,7,11.1309862590455
121,9,1,7,6.38044126416219
121,10,1,7,0
121,11,1,7,12.1941316407098
121,12,1,7,10.112637702686
121,13,1,7,12.6216455322914
121,14,1,7,3.47536740918754
121,15,1,7,30.259900990099
121,16,1,7,9.45796460176991
121,17,1,7,11.1240010311936
121,18,1,7,16.0016539177176
121,19,1,7,11.506831362013
121,20,1,7,19.6324518153295
121,21,1,7,10.6942041459984
121,22,1,7,9.85664533894873
121,23,1,7,9.84426765229542
121,24,1,7,9.45796460176991
121,25,1,7,0
121,26,1,7,4.72239948947033
121,27,1,7,9.3098684605682
121,28,1,7,2.15736040609137
121,29,1,7,0
121,30,1,7,3.46618018523716
121,31,1,7,6.91735371003418
121,32,1,7,0
121,33,1,7,2.40847784200385
121,34,1,7,0
121,35,1,7,6.53877733821005
121,36,1,7,11.2052890320393
121,37,1,7,0
121,38,1,7,3.46618018523716
121,39,1,7,0
121,40,1,7,16.6835626357712
121,41,1,7,20.6003855687139
121,42,1,7,19.4302617716184
121,43,1,7,7.60045924225029
121,44,1,7,5.35842074948074
121,45,1,7,12.2954091816367
121,46,1,7,7.00854700854701
121,47,1,7,9.55035933094486
121,48,1,7,1.13179448994788
121,49,1,7,9.37266616878267
121,50,1,7,14.889466840052
121,51,1,7,15.9660793917684
121,52,1,7,7.25296539586075
121,53,1,7,11.5968086301832
122,2,1,8,5.39173057158669
122,3,1,8,1.51493799323563
122,4,1,8,4.7788182111721
122,5,1,8,5.2111903455842
122,6,1,8,9.52655889145497
122,7,1,8,2.948568626249
122,8,1,8,1.22637263726373
122,9,1,8,2.43208516886931
122,10,1,8,0.915415598681802
122,11,1,8,7.79950550685547
122,12,1,8,4.16062626848362
122,13,1,8,7.76541304524409
122,14,1,8,5.38016896398399
122,15,1,8,4.6323250221491
122,16,1,8,1.93979224083104
122,17,1,8,0
122,18,1,8,2.18769167859333
122,19,1,8,3.70250081195193
122,20,1,8,1.72362555720654
122,21,1,8,3.74560859681752
122,22,1,8,5.17137702946482
122,23,1,8,0
122,24,1,8,0
122,25,1,8,4.68496265021111
